Idx,Wedge_rk,Wedge coords,Line_rk,Line basis,Klein_rk,Klein coords
188,911," 8, 0, 1, 0, 1, 0",2511," 1, 0, 0, 3, 0, 1, 0, 6",278," 8, 0, 0, 2, 1, 0"
189,984," 0, 0, 2, 0, 1, 0",272," 1, 2, 0, 0, 0, 0, 0, 1",253," 0, 0, 0, 1, 1, 0"
190,985," 1, 0, 2, 0, 1, 0",1656," 1, 0, 0, 2, 0, 1, 0, 2",255," 2, 0, 0, 1, 1, 0"
191,986," 2, 0, 2, 0, 1, 0",828," 1, 0, 0, 1, 0, 1, 0, 1",254," 1, 0, 0, 1, 1, 0"
192,987," 3, 0, 2, 0, 1, 0",6624," 1, 0, 0, 8, 0, 1, 0, 8",259," 6, 0, 0, 1, 1, 0"
193,988," 4, 0, 2, 0, 1, 0",4968," 1, 0, 0, 6, 0, 1, 0, 6",261," 8, 0, 0, 1, 1, 0"
194,989," 5, 0, 2, 0, 1, 0",4140," 1, 0, 0, 5, 0, 1, 0, 5",260," 7, 0, 0, 1, 1, 0"
195,990," 6, 0, 2, 0, 1, 0",3312," 1, 0, 0, 4, 0, 1, 0, 4",256," 3, 0, 0, 1, 1, 0"
196,991," 7, 0, 2, 0, 1, 0",5796," 1, 0, 0, 7, 0, 1, 0, 7",258," 5, 0, 0, 1, 1, 0"
197,992," 8, 0, 2, 0, 1, 0",2484," 1, 0, 0, 3, 0, 1, 0, 3",257," 4, 0, 0, 1, 1, 0"
198,1065," 0, 0, 3, 0, 1, 0",454," 1, 4, 0, 0, 0, 0, 0, 1",372," 0, 0, 0, 8, 1, 0"
199,1066," 1, 0, 3, 0, 1, 0",1665," 1, 0, 0, 2, 0, 1, 0, 3",376," 4, 0, 0, 8, 1, 0"
200,1067," 2, 0, 3, 0, 1, 0",873," 1, 0, 0, 1, 0, 1, 0, 6",380," 8, 0, 0, 8, 1, 0"
201,1068," 3, 0, 3, 0, 1, 0",6561," 1, 0, 0, 8, 0, 1, 0, 1",373," 1, 0, 0, 8, 1, 0"
202,1069," 4, 0, 3, 0, 1, 0",4977," 1, 0, 0, 6, 0, 1, 0, 7",377," 5, 0, 0, 8, 1, 0"
203,1070," 5, 0, 3, 0, 1, 0",4167," 1, 0, 0, 5, 0, 1, 0, 8",378," 6, 0, 0, 8, 1, 0"
204,1071," 6, 0, 3, 0, 1, 0",3294," 1, 0, 0, 4, 0, 1, 0, 2",374," 2, 0, 0, 8, 1, 0"
205,1072," 7, 0, 3, 0, 1, 0",5769," 1, 0, 0, 7, 0, 1, 0, 4",375," 3, 0, 0, 8, 1, 0"
